sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-08-27T10:23:57Z,0.13702520675451618,2307.2578125,40.81491315154911,2.5,1.3333771428571426,0.0,
2,2026-08-27T10:24:27Z,0.16052222743066674,2225.55078125,49.551381658164104,2.3916666666666666,2.0970136239782016,0.0,
3,2026-08-27T10:24:57Z,0.13342284298663054,2138.51171875,49.62008523584313,2.425,3.276323863636364,0.0,
4,2026-08-27T10:25:27Z,0.13994626393760362,2102.4453125,44.85231673625856,2.441666666666667,1.228817857142857,0.0,
