sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-08-27T14:17:15Z,0.14380394676425765,2237.76953125,46.331482700510016,2.3833333333333333,1.3551517615176152,0.0,
2,2026-08-27T14:17:45Z,0.15522890234077535,2168.96484375,48.38604898857418,2.475,1.3147927170868348,0.0,
3,2026-08-27T14:18:15Z,0.001215099910287233,,,2.1166666666666667,0.0,0.0,"mem_util,network_rx"
4,2026-08-27T14:19:17Z,,,,2.3916666666666666,0.0,0.0,"cpu_util,mem_util,network_rx"
