sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-08-27T10:34:27Z,0.13303341448300673,2155.42578125,43.06454544771711,2.341666666666667,1.397193925233645,0.0,
2,2026-08-27T10:35:27Z,0.14601510961413353,2125.36328125,45.01553061574023,2.2,1.1889590643274854,0.0,
3,2026-08-27T10:36:27Z,0.10438654716683389,2108.62890625,41.07966450614248,2.283333333333333,1.0132155172413793,0.0,
4,2026-08-27T10:37:27Z,0.10673216843905979,2119.44140625,45.98086374287422,2.3833333333333333,6.768413680781758,0.0,
5,2026-08-27T10:38:27Z,0.1276280586330801,2140.42578125,44.91416025493492,2.4166666666666665,1.1694550408719344,0.0,
6,2026-08-27T10:39:27Z,0.11337536452794211,2131.09375,49.12725837305867,2.225,0.796231527093596,0.0,
7,2026-08-27T10:40:27Z,0.12873486478033297,2124.0,49.95625017545446,2.6166666666666667,1.7058722826086958,0.0,
8,2026-08-27T10:41:27Z,0.1359747339458598,2134.9453125,44.30178333188225,2.35,1.1008857938718664,0.0,
9,2026-08-27T10:42:27Z,0.13299548999803223,2125.6015625,49.141209069869355,2.525,1.1761196319018403,0.0,
10,2026-08-27T10:43:27Z,0.13303029075159298,2133.75,53.05428245943122,2.441666666666667,1.0575486486486487,0.0,
11,2026-08-27T10:44:27Z,0.10881656495683091,2127.4140625,46.647375236956975,2.5416666666666665,0.7789679999999999,0.0,
12,2026-08-27T10:45:27Z,0.09118575964911772,2141.125,46.043653559974146,2.683333333333333,1.0406340782122905,0.0,
13,2026-08-27T10:46:27Z,0.10462960866625502,2134.484375,45.80475758963392,3.033333333333333,0.7665194029850746,0.0,
14,2026-08-27T10:47:27Z,0.09522670526130535,2139.27734375,45.45099506940118,2.6083333333333334,1.1076655052264808,0.0,
15,2026-08-27T10:48:27Z,0.09949026240080325,2142.18359375,46.47745961113229,2.675,1.3514036697247707,0.0,
16,2026-08-27T10:49:27Z,0.09980769391538678,2150.25390625,62.12371518184263,2.525,1.128315340909091,0.0,
17,2026-08-27T10:50:27Z,0.11552294287888511,2158.703125,46.574225886005145,2.7583333333333333,0.8560761154855644,0.0,
18,2026-08-27T10:51:27Z,0.10556131878657317,2155.671875,52.57696192289751,2.566666666666667,2.2022365038560414,0.0,
19,2026-08-27T10:52:27Z,,,,2.55,0.0,0.0,"cpu_util,mem_util,network_rx"
20,2026-08-27T10:53:37Z,0.2114506447453719,1440.48828125,14.067074192933008,2.325,0.0,0.0,
21,2026-08-27T10:54:37Z,0.30582610699453217,2107.97265625,44.97902483830778,2.408333333333333,8.054281954887218,0.0037593984962406013,
22,2026-08-27T10:55:37Z,0.16843383173601645,2172.375,50.43578327705203,2.8833333333333333,1.9948014184397158,0.0,
23,2026-08-27T10:56:37Z,0.16879178043727813,2205.59375,43.33275265414459,2.875,1.673056603773585,0.0,
24,2026-08-27T10:57:37Z,0.15995615646269198,2235.66796875,49.794386783330395,2.725,1.8151292307692308,0.0,
25,2026-08-27T10:58:37Z,0.1593672072158101,2259.87890625,48.525052828180364,2.6083333333333334,7.503906249999998,0.0,
26,2026-08-27T10:59:37Z,0.15071434127000471,2290.78125,47.19388547895087,2.7583333333333333,1.5846404833836858,0.0,
27,2026-08-27T11:00:37Z,0.15158642214808266,2304.94921875,41.943188546304334,2.4166666666666665,2.383290969899665,0.0,
28,2026-08-27T11:01:37Z,0.15447262499594516,2308.1015625,44.28494343753683,2.55,2.143217391304348,0.0,
29,2026-08-27T11:02:37Z,0.17307867082913309,2320.52734375,52.920530089422876,2.908333333333333,2.3248115015974444,0.0,
30,2026-08-27T11:03:37Z,0.13575495575040697,2323.6640625,39.509393294610845,2.5,1.7616774193548388,0.0,
31,2026-08-27T11:04:37Z,0.14786717390818555,2333.796875,45.488151037611054,2.5166666666666666,1.6606032258064518,0.0,
32,2026-08-27T11:05:37Z,0.15258105922374693,2345.01171875,40.228507218214354,2.566666666666667,6.440962962962962,0.0,
33,2026-08-27T11:06:37Z,0.15760252491157076,2356.1171875,55.172571275403214,2.575,1.5915585585585588,0.0,
34,2026-08-27T11:07:37Z,0.135783007534964,2368.8046875,51.956669672004175,2.275,1.5478704225352113,0.0,
35,2026-08-27T11:08:37Z,0.1471833403221596,2347.78125,48.96793323843375,2.4166666666666665,1.3275053191489363,0.0,
36,2026-08-27T11:09:37Z,0.14557444220036062,2355.48828125,49.94392631883662,2.425,1.6129201277955274,0.0,
37,2026-08-27T11:10:37Z,0.13347594812050786,2368.7578125,48.97745391687288,2.691666666666667,1.8886562500000001,0.0,
38,2026-08-27T11:11:38Z,0.16487724988636324,2375.6328125,55.72440733091766,2.7416666666666667,1.3065726256983239,0.0,
39,2026-08-27T11:12:37Z,0.14132868422647385,2384.03125,47.971013160933,2.675,1.308658536585366,0.0,
40,2026-08-27T11:13:37Z,0.13490102905706836,2387.06640625,38.619571598284395,2.6333333333333333,1.2512098445595854,0.0,
41,2026-08-27T11:14:37Z,0.1421567709221825,2395.69140625,44.79385267995769,2.5833333333333335,1.255891156462585,0.0,
42,2026-08-27T11:15:37Z,0.13963552848783536,2400.93359375,49.69362096488889,2.55,2.9335817174515237,0.0,
43,2026-08-27T11:16:37Z,0.14834067444428048,2406.765625,50.9084565680166,2.6666666666666665,1.0750677083333333,0.0,
44,2026-08-27T11:17:37Z,0.16261499004054647,2409.84375,49.45378051861637,2.5,1.507611111111111,0.0,
45,2026-08-27T11:18:37Z,0.1394665092928424,2414.55859375,35.87596620925076,2.7416666666666667,1.965395778364116,0.0,
46,2026-08-27T11:19:37Z,0.13442470049033925,2410.3515625,42.91758071896737,2.9,1.6185949008498584,0.0,
47,2026-08-27T11:20:37Z,0.16132826237926448,2411.82421875,54.27040607941614,2.3666666666666667,1.4708860759493672,0.0,
48,2026-08-27T11:21:37Z,0.1702267445557098,2425.796875,44.10243980783466,2.533333333333333,1.4042081081081081,0.0,
49,2026-08-27T11:22:37Z,0.13749083551695152,2430.15234375,47.94604345765931,2.4833333333333334,2.2667694704049843,0.0,
50,2026-08-27T11:23:37Z,0.14639818145656738,2435.51953125,44.61799764671951,2.191666666666667,1.2821183879093199,0.0,
51,2026-08-27T11:24:37Z,0.15605357246765264,2424.1640625,57.74048314437396,2.3333333333333335,1.1554028103044498,0.0,
52,2026-08-27T11:25:37Z,0.1475255336479381,2427.01171875,39.86292358428852,2.55,1.5588447761194029,0.0,
53,2026-08-27T11:26:37Z,0.12731243867922032,2431.02734375,49.13827511688237,2.433333333333333,1.8023959537572254,0.0,
54,2026-08-27T11:27:37Z,0.1469414836014316,2434.921875,43.45869517178646,2.275,1.4177278481012658,0.0,
55,2026-08-27T11:28:37Z,0.16250112615561296,2432.171875,46.45494089177879,2.525,1.366659793814433,0.0,
56,2026-08-27T11:29:37Z,0.1613797087561293,2290.92578125,45.1362468488611,2.2666666666666666,0.7697727272727273,0.48484848484848486,
57,2026-08-27T11:30:37Z,0.16272795682404617,2346.671875,48.899145120596856,2.4583333333333335,2.1660780780780784,0.0,
58,2026-08-27T11:31:37Z,0.14228171158605027,2359.45703125,46.1212136989091,2.3,1.6330874035989715,0.0,
59,2026-08-27T11:32:37Z,0.1723294724428148,2371.56640625,53.31188826887838,2.35,2.218739726027397,0.0,
60,2026-08-27T11:33:37Z,0.1898461293380554,2388.37890625,51.77114518942374,2.4,1.2312419825072887,0.0,
61,2026-08-27T11:34:37Z,0.1628859320996758,2387.50390625,50.0179035214156,2.466666666666667,2.206784023668639,0.0,
62,2026-08-27T11:35:38Z,0.13497910683243575,2394.19140625,46.51177005903822,2.65,1.1004780361757105,0.0,
63,2026-08-27T11:36:37Z,0.14499884791254505,2365.80859375,50.75748918742155,2.683333333333333,1.2786548223350254,0.0,
64,2026-08-27T11:37:37Z,0.1213586233763576,2366.09765625,38.471408864276604,2.25,1.8513982035928143,0.0,
65,2026-08-27T11:38:37Z,0.15581587613333323,2381.03125,50.92776488482738,2.4166666666666665,0.9878963414634145,0.0,
