sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-09-07T04:15:23Z,,2333.9453125,,2.35,1.6102492401215804,0.0,"cpu_util,network_rx"
2,2026-09-07T04:15:53Z,0.3241572182352978,2355.12109375,32.68275987521556,3.0,5.423017857142858,0.0,
3,2026-09-07T04:16:23Z,0.5017773930741625,2352.26171875,37.817942346912965,3.058333333333333,2.5383663101604275,0.0,
4,2026-09-07T04:16:53Z,0.4914118772252819,2356.88671875,44.60593004677551,3.216666666666667,4.020936386768447,0.0,
