sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-08-27T14:49:22Z,0.16199252394209965,2444.0,54.67876526271339,2.525,1.405559585492228,0.0,
2,2026-08-27T14:50:22Z,0.13991850991709284,2440.73046875,48.432245481277285,2.8333333333333335,1.5715048231511255,0.0,
3,2026-08-27T14:51:22Z,0.14436552065221758,2448.01953125,38.46243951490898,2.45,1.5402831325301205,0.0,
4,2026-08-27T14:52:22Z,0.15927640401674953,2438.98046875,45.42359280596922,2.658333333333333,5.013900763358778,0.0,
5,2026-08-27T14:53:22Z,0.1663225981230259,2442.31640625,43.82781379189273,2.558333333333333,5.374721428571428,0.0,
6,2026-08-27T14:54:22Z,0.1471781949174748,2427.37890625,31.843148893830058,2.65,2.1707677261613694,0.0,
7,2026-08-27T14:55:22Z,0.16751950104755403,2403.21484375,42.70561264963248,2.85,1.0911889168765745,0.0,
8,2026-08-27T14:56:22Z,0.1577778199827928,2412.82421875,52.833834690365336,2.95,1.5158815028901733,0.0,
9,2026-08-27T14:57:22Z,0.15457185401620524,2434.12890625,38.26723512797193,2.9166666666666665,1.2811079136690646,0.0,
10,2026-08-27T14:58:22Z,0.1463041448227874,2435.0390625,45.22547503821438,2.75,0.0,0.0,
