sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-09-06T02:37:34Z,0.15967033820755933,2276.57421875,42.76203090805754,2.7916666666666665,1.223125356125356,0.0,
2,2026-09-06T02:38:34Z,0.1296910354565169,2289.22265625,44.14126888349076,2.7083333333333335,1.4219945945945947,0.0,
3,2026-09-06T02:39:34Z,0.13429612168789712,2307.81640625,40.693862723220256,2.775,1.2595268817204301,0.0,
4,2026-09-06T02:40:34Z,0.13887612718484418,2283.01171875,39.7201062742813,2.4833333333333334,1.1662995169082127,0.0,
5,2026-09-06T02:41:34Z,0.11387516216525631,2284.0546875,47.13256163532446,2.533333333333333,1.2792128712871285,0.0,
6,2026-09-06T02:42:34Z,0.1296934580363558,2288.09765625,43.756771210241496,2.825,0.0,0.0,
7,2026-09-06T02:43:34Z,0.13587124952917368,2216.6171875,50.18611599357745,2.7083333333333335,1.4311294964028776,0.0,
8,2026-09-06T02:44:34Z,0.15929604820283158,2216.11328125,51.3763295625094,2.5416666666666665,1.1911985472154965,0.0,
9,2026-09-06T02:45:34Z,0.1403617271469451,2218.37109375,47.526282811048866,2.5166666666666666,1.3155172413793104,0.0,
10,2026-09-06T02:46:34Z,0.14010591692737515,2227.8671875,46.009640331236845,2.5416666666666665,1.1735398009950249,0.0,
11,2026-09-06T02:47:35Z,0.1455293926100444,2225.51171875,45.800609658429984,2.725,1.4240911330049262,0.0,
12,2026-09-06T02:48:34Z,0.129979423387323,2226.69921875,39.432551071774824,2.65,1.267565982404692,0.0,
13,2026-09-06T02:50:11Z,0.027968694819257223,2234.39453125,14.39483689951366,2.433333333333333,1.49735824742268,0.0,
14,2026-09-06T02:51:12Z,0.12654467227805338,2234.6953125,38.63367714850929,2.566666666666667,1.2000562499999998,0.0,
15,2026-09-06T02:52:12Z,0.14976100003561713,2241.25390625,50.76285444273044,2.4833333333333334,1.2419595687331537,0.0,
16,2026-09-06T02:53:12Z,0.14237777174722327,2244.90625,55.01438592532993,2.6166666666666667,1.202320209973753,0.0,
17,2026-09-06T02:54:12Z,0.11542484951595973,2249.62890625,37.471411975553806,2.675,1.252603825136612,0.0,
18,2026-09-06T02:55:12Z,0.14730763490699772,2250.69140625,52.700384152318016,2.5833333333333335,1.274,0.0,
19,2026-09-06T02:56:12Z,0.15127134235349177,2264.1484375,50.34961449412506,2.8333333333333335,1.217940047961631,0.0,
20,2026-09-06T02:57:12Z,0.1409756351921307,2259.76953125,47.85947336189892,2.8916666666666666,1.360414043583535,0.0,
21,2026-09-06T02:58:12Z,0.15755758326305114,2254.421875,51.46593587378619,2.975,1.1996441102756892,0.0,
22,2026-09-06T02:59:12Z,0.16772113319453028,2258.0390625,56.45459871424418,3.2333333333333334,1.2274519230769232,0.0,
23,2026-09-06T03:00:12Z,0.13879738564998215,2255.05078125,44.823621824908486,3.05,1.1851102756892231,0.0,
24,2026-09-06T03:01:12Z,0.1485140879465502,2254.921875,50.60794641012246,2.7916666666666665,3.743865229110513,0.0,
25,2026-09-06T03:02:12Z,0.13203352237173638,2258.4453125,44.89010141145727,2.95,1.2264065656565657,0.0,
26,2026-09-06T03:03:12Z,0.14129362759687053,2273.8359375,48.86717374895495,2.841666666666667,1.3459430693069305,0.0,
27,2026-09-06T03:04:12Z,0.14470558388232155,2274.80078125,53.48172482469396,3.0166666666666666,1.408597733711048,0.0,
28,2026-09-06T03:05:12Z,0.11729953468130801,2280.515625,33.77332091316544,2.9916666666666667,1.1435958005249345,0.0,
29,2026-09-06T03:06:12Z,0.1478432667378085,2286.69140625,52.08129164216726,3.183333333333333,0.0,0.0,
30,2026-09-06T03:07:12Z,0.1559263440309219,2268.453125,59.400852915444254,2.8333333333333335,1.0835170454545455,0.0,
31,2026-09-06T03:08:12Z,0.14849698108302878,2267.29296875,52.78531728685747,2.7916666666666665,1.354345088161209,0.0,
32,2026-09-06T03:09:12Z,0.13497749884887802,2267.671875,46.505391999723265,2.8,1.2426367924528303,0.0,
33,2026-09-06T03:10:12Z,0.15852194923045787,2098.01171875,55.028138507589766,2.7333333333333334,0.923131195335277,0.0,
34,2026-09-06T03:11:13Z,0.15589650826371546,2263.35546875,52.16638995203876,2.6333333333333333,1.227161662817552,0.0,
35,2026-09-06T03:12:13Z,0.1389529853438799,2262.4375,44.61581527005156,2.9,1.1033756476683936,0.0,
36,2026-09-06T03:13:13Z,0.14806715151410282,2265.53515625,45.19413299196851,2.6666666666666665,1.1790557184750734,0.0,
