sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-09-07T02:15:07Z,0.16651446535251171,2280.77734375,49.02832042703123,2.75,2.0378237288135588,0.0,
2,2026-09-07T02:15:37Z,0.3735674568710193,2310.4765625,44.61005108185472,2.625,1.1186683673469386,0.0,
3,2026-09-07T02:16:07Z,0.4924997637898438,2310.00390625,45.65068327950641,2.7333333333333334,1.6215739644970413,0.0,
4,2026-09-07T02:16:37Z,0.42035640970821275,2309.7578125,46.802246250058126,2.85,2.958621749408984,0.0,
