Scenario_ID,Run_Type,MTTD,MTTR,Success
S1_CPU_Starvation,Run B (Proposed),6.510529,70.056734,True
S1_CPU_Starvation,Run A (Legacy),600.0,67.709105,True
S2_Memory_Leak,Run A (Legacy),12.253609,252.288679,True
S4_Network_Latency,Run B (Proposed),12.193214,72.195132,True
S1_CPU_Starvation,Run A (Legacy),600.0,65.44416,True
S4_Network_Latency,Run B (Proposed),12.524776,72.479581,True
S2_Memory_Leak,Run A (Legacy),12.424784,192.372575,True
S7_Random_Pod_Kill,Run B (Proposed),12.584439,72.600121,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.482968,True
S1_CPU_Starvation,Run B (Proposed),6.925602,66.711889,True
S1_CPU_Starvation,Run B (Proposed),5.717853,65.670584,True
S2_Memory_Leak,Run A (Legacy),12.186665,372.147351,True
S1_CPU_Starvation,Run A (Legacy),6.057668,65.692147,True
S7_Random_Pod_Kill,Run A (Legacy),600.0,72.632252,True
S1_CPU_Starvation,Run A (Legacy),67.063963,67.063997,True
S7_Random_Pod_Kill,Run B (Proposed),72.641126,72.848839,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.833999,True
S1_CPU_Starvation,Run A (Legacy),600.0,67.234828,True
S1_CPU_Starvation,Run B (Proposed),6.238699,66.237902,True
S1_CPU_Starvation,Run B (Proposed),6.131931,66.165524,True
S4_Network_Latency,Run B (Proposed),11.938637,131.987009,True
S1_CPU_Starvation,Run A (Legacy),600.0,66.294267,True
S7_Random_Pod_Kill,Run A (Legacy),600.0,72.087051,True
S4_Network_Latency,Run A (Legacy),600.0,71.700055,True
S3_Disk_IO_Stress,Run A (Legacy),67.605896,67.605926,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.83954,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.990952,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,67.190003,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.414551,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.483509,True
S3_Disk_IO_Stress,Run A (Legacy),66.68245,186.711099,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.874138,True
S3_Disk_IO_Stress,Run A (Legacy),600.0,66.300282,True
