sample,timestamp,cpu_util,mem_util,network_rx,log_error_rate,trace_latency_ms,trace_error_pct,missing_features
1,2026-08-27T03:01:24Z,0.1515551407597809,2224.375,53.4803312985011,2.466666666666667,1.2631815718157182,0.0,
2,2026-08-27T03:02:28Z,0.11289104944280177,2112.77734375,47.15602218899881,2.225,0.0,0.0,
3,2026-08-27T03:03:47Z,0.12623283943466654,2207.78515625,43.984205828335696,2.5833333333333335,1.7838319327731091,0.0,
4,2026-08-27T03:04:47Z,0.141722270596496,2209.72265625,50.66815685090989,2.6,1.5161028571428574,0.0,
5,2026-08-27T03:05:48Z,0.14998815218367395,2220.66015625,49.386796932103245,2.308333333333333,1.3482486772486773,0.0,
6,2026-08-27T03:06:48Z,0.15999797582932668,2225.37890625,56.96029758287601,2.525,1.4231583113456465,0.0,
7,2026-08-27T03:07:48Z,0.13720659141378386,2218.0546875,42.61869638935102,2.375,1.3333644859813083,0.0,
8,2026-08-27T03:08:49Z,0.15073199017132574,2226.6015625,47.02624169924316,2.3333333333333335,1.2827326732673265,0.0,
9,2026-08-27T03:09:49Z,0.15632169322688902,2231.53515625,47.25522947216686,2.475,1.4690089020771513,0.0,
10,2026-08-27T03:10:50Z,0.13473283712655615,2230.609375,51.36065762454244,2.55,1.3712179104477613,0.0,
11,2026-08-27T03:11:50Z,0.1418441972741937,2233.359375,38.94469230756882,2.675,1.2687593123209169,0.0,
12,2026-08-27T03:12:50Z,0.1288441165669877,2240.13671875,43.93681808141658,2.341666666666667,1.21480790960452,0.0,
13,2026-08-27T03:13:51Z,0.14412768016513838,2238.8203125,43.937488603691975,2.625,1.1538540372670805,0.0,
14,2026-08-27T03:14:51Z,0.15465340135354735,2240.98828125,49.253027785831364,2.466666666666667,2.489210826210826,0.0,
15,2026-08-27T03:15:52Z,0.14708378416020534,2245.625,41.6656589508469,2.725,11.508935211267607,0.0,
16,2026-08-27T03:16:52Z,0.1875273252106642,2206.8125,50.03311438406801,2.625,4.902378787878788,0.0,
17,2026-08-27T03:17:53Z,0.1440436361702027,2220.90234375,51.63688512158569,2.625,1.2185598802395208,0.0,
18,2026-08-27T03:18:53Z,0.15057381389928354,2232.2890625,49.04556172182746,2.55,4.075727272727272,0.0,
19,2026-08-27T03:19:54Z,0.1307658718211607,2249.48046875,43.360069115034214,2.4,1.3845108695652173,0.0,
20,2026-08-27T03:20:55Z,0.14391839454256497,2255.1328125,41.817175103186784,2.5,1.197171641791045,0.0,
21,2026-08-27T03:21:55Z,0.12678816649031446,2228.10546875,45.02075025581869,2.45,1.4194648318042815,0.0,
22,2026-08-27T03:22:56Z,0.13282740928497314,2240.13671875,43.75367268530721,2.3916666666666666,1.2546051779935274,0.0,
23,2026-08-27T03:23:57Z,0.13505197755623255,2237.32421875,49.3289270168294,2.591666666666667,1.7389999999999999,0.0,
24,2026-08-27T03:24:58Z,0.15085191817049204,2247.81640625,51.073733762101206,2.525,16.227615384615387,0.0,
25,2026-08-27T03:25:58Z,0.15051377944949157,2259.734375,52.52771902179874,2.6666666666666665,1.4915917721518985,0.0,
26,2026-08-27T03:26:59Z,0.14998862142698302,2255.52734375,44.88687534848861,2.375,1.232840361445783,0.0,
27,2026-08-27T03:28:00Z,0.15469526271981637,2258.00390625,42.7573071220968,2.5083333333333333,1.2036191780821919,0.0,
28,2026-08-27T03:29:01Z,0.13180599703913018,2245.91796875,46.25070285167169,2.433333333333333,1.2573456375838925,0.0,
29,2026-08-27T03:30:02Z,0.12352179581850804,2252.8828125,42.520192250114306,2.325,1.3380560471976402,0.0,
30,2026-08-27T03:31:03Z,0.14610394121952963,2252.71875,46.312479035007236,2.7583333333333333,1.1628653846153845,0.0,
31,2026-08-27T03:32:04Z,0.13277851604393495,2254.33984375,46.921142907259146,2.591666666666667,1.2135052356020941,0.0,
32,2026-08-27T03:33:04Z,0.13623872327129857,2257.953125,45.84551512494683,2.466666666666667,1.3671828908554573,0.0,
